"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"17810",94,2149.5,2120,86,60,16.4,3,285,56,8,80,80,15,28.2,"High"
"17811",60,1583.5,1601.5,38.5,47,23.65,2,206,760,1555,80,80,15,28.2,"High"
"17812",40.4,1215,1258.5,52.5,49,35.75,4,394,1030,1181,80,80,16,28.2,"High"
"17813",61.6,1609.5,1638,48.5,41,25.3,2,212,118,254,80,80,15,28.2,"High"
"17814",66.8,1839,1747,77.5,55,18.05,2.5,237,4,0,80,80,15,28.2,"High"
"17815",70.4,1859,1812,72,52,18.9,2.5,244,0,2,80,80,15,28.2,"High"
"17816",95.2,1532,1625,62,83,30.65,2,216,87,108,80,80,17,28.2,"High"
"17817",81.2,1811,2018,61.5,73,26.6,5,517,0,0,80,80,17,28.2,"High"
"17818",50.4,1518,1443,68.5,57,25.05,8,775,3,3,80,80,18,28.2,"High"
"17819",99.2,1845,2120,148.5,100,26.25,9.5,944,0,1,80,80,17,28.2,"High"
"17820",77.6,1804.5,1942.5,149.5,99,26.95,10.5,1063,4,5,79,79,17,28.2,"High"
"17821",38.8,1326,1222.5,19.5,6,7.15,8,776,0,0,79,79,17,28.2,"High"
"17822",70,1787,1802,118,88,26.5,8.5,864,0,1,79,79,17,28.3,"High"
"17823",32.4,1088,1106,8,10,17.2,6.5,636,556,587,79,79,17,28.2,"High"
"17824",0.4,800,800,6,20,48.2,0,0,3471,3581,79,79,17,28.4,"High"
"17825",0.4,804.5,800,4.5,16,42.75,0,0,3087,3271,79,79,17,28.3,"High"
"17826",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17827",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17828",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17829",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17830",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17831",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17832",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17833",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17834",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17835",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17836",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17837",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17838",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
"17839",0,784.5,800,2,16,45.25,0,0,2037,1963,78,78,17,26.6,"High"
