"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"5906",99.2,1889.5,2120,148.5,100,25.55,5,525,0,0,85,85,24,28.2,"Low"
"5907",99.2,1880.5,2120,155.5,100,25.75,7,693,0,0,85,85,24,28.1,"Low"
"5908",99.2,1995,2120,156.5,100,24.35,8.5,833,0,0,85,85,24,28.2,"Low"
"5909",99.2,1526,2120,156,100,31.95,8.5,839,0,0,85,85,23,28.2,"Low"
"5910",99.2,1573.5,2120,152,100,31,8.5,814,0,0,85,85,21,28.2,"Low"
"5911",99.2,1841.5,2120,157,100,26.35,7.5,733,0,0,84,84,24,28.2,"Low"
"5912",99.2,1715.5,2120,160.5,100,28.4,7,696,471,482,84,84,24,28.2,"Low"
"5913",99.2,1895.5,2120,129,100,25.55,1.5,134,98,115,84,84,24,28.2,"Low"
"5914",99.2,1806.5,2120,161.5,100,26.95,6.5,628,3,5,84,84,24,28.2,"Low"
"5915",99.2,1792.5,2120,162.5,100,27.2,8.5,843,15,19,84,84,24,28.2,"Low"
"5916",99.2,1818.5,2120,163,100,26.7,12,1217,10,14,84,84,24,28.2,"Low"
"5917",99.2,2169,2120,113.5,41,14.35,10.5,1047,1261,1113,84,84,21,28.2,"Low"
"5918",98.8,2082,2120,153.5,100,22.1,12,1209,508,513,84,84,24,28.2,"Low"
"5919",94.4,2114.5,2120,116.5,77,20.45,8,772,101,129,84,84,27,28.2,"Low"
"5920",98,1760.5,2120,160,100,27.65,10,1010,4,2,84,84,29,28.2,"Low"
"5921",98.8,2147,2120,90.5,45,14.95,8,741,648,832,84,84,24,28.2,"Low"
"5922",98.8,1770.5,2120,146,100,27.45,7,700,81,43,84,84,18,28.1,"Low"
"5923",96,2059.5,2120,97,83,22.1,5,414,3007,3066,84,84,21,28.2,"Low"
"5924",99.2,2001,2120,147,98,24.25,5.5,529,0,3,84,84,24,28.2,"Low"
"5925",99.2,1862.5,2120,156,100,26,7,721,0,0,84,84,26,28.2,"Low"
"5926",99.2,2153,2120,153.5,100,19.7,9,831,0,0,84,84,27,28.2,"Low"
"5927",99.2,1835,2120,160,100,26.5,10,970,0,1,84,84,26,28.2,"Low"
"5928",99.2,1860.5,2120,157,100,26,11,1089,6,7,84,84,26,28.2,"Low"
"5929",99.2,1898,2120,156.5,100,25.4,12,1213,10,13,84,84,26,28.2,"Low"
"5930",99.2,1906,2120,156.5,100,25.4,13,1261,6,4,84,84,26,28.2,"Low"
"5931",99.2,1936.5,2120,158.5,100,24.95,13.5,1329,2,6,84,84,25,28.2,"Low"
"5932",99.2,1941,2120,161.5,100,24.95,13.5,1395,5,6,84,84,26,28.2,"Low"
"5933",99.2,1946.5,2120,161.5,100,24.8,14,1372,6,9,84,84,26,28.2,"Low"
"5934",99.2,2225.5,2120,114.5,60,0.95,13,1241,1316,1510,84,84,25,28.2,"Low"
"5935",92.8,2082,2120,63,49,17.95,9,862,287,511,84,84,26,28.2,"Low"
"5936",99.2,1706,2120,162.5,100,28.5,4,590,0,0,84,84,24,28.2,"Low"
"5937",99.2,2015.5,2120,156.5,93,24,1.5,173,25,23,84,84,24,28.1,"Low"
"5938",99.2,1552.5,2120,159.5,100,31.35,0.5,97,0,0,84,84,26,28.2,"Low"
"5939",99.2,1493,2120,146.5,100,32.8,0,42,0,0,84,84,26,28.2,"Low"
"5940",99.2,1528.5,2120,145.5,100,31.95,0.5,105,0,0,84,84,25,28.2,"Low"
"5941",99.2,1485,2120,146.5,100,33,0.5,78,0,0,84,84,25,28.2,"Low"
"5942",99.6,2004.5,2120,155,100,24.25,0.5,87,92,126,84,84,26,28.2,"Low"
"5943",93.2,1473.5,2120,158.5,100,33.15,0,0,714,650,84,84,26,28.2,"Low"
"5944",99.6,1452.5,2120,157,100,33.75,0,59,383,439,84,84,26,28.2,"Low"
"5945",99.2,2043,2120,162.5,100,23.65,0.5,49,93,121,84,84,26,28.2,"Low"
"5946",93.2,2070.5,2120,160.5,98,23.3,0.5,23,2986,3146,84,84,24,28.2,"Low"
"5947",55.6,1485.5,1538,80,79,31.45,1.5,162,216,291,84,84,25,28.1,"Low"
"5948",58,1615.5,1583.5,42.5,32,17.7,0,0,1924,2101,84,84,26,28.2,"Low"
"5949",56.8,1482.5,1554,57,48,28.25,1.5,148,87,110,85,85,25,28.2,"Low"
"5950",68,1873.5,1768,76.5,53,15.8,3.5,345,0,3,85,85,25,28.2,"Low"
"5951",91.6,1898.5,2120,99.5,86,25.55,4,446,0,0,86,86,25,28.2,"Low"
"5952",99.2,1868,2120,160,100,25.9,8.5,858,0,0,86,86,25,28.2,"Low"
"5953",99.2,2010,2120,158,100,24.1,10.5,1031,0,0,86,86,26,28.2,"Low"
"5954",99.2,1836,2120,160,100,26.5,13,1278,0,0,86,86,26,28.2,"Low"
"5955",99.2,1682.5,2120,165,100,28.85,14.5,1426,0,0,86,86,25,28.2,"Low"
"5956",99.2,1868,2120,159.5,100,26,15.5,1527,0,0,86,86,26,28.2,"Low"
"5957",99.2,1760.5,2120,162,100,27.65,16.5,1655,0,0,85,85,25,28.2,"Low"
"5958",99.2,1960,2120,156,100,24.7,17.5,1745,0,0,85,85,26,28.2,"Low"
"5959",98.8,2065.5,2120,134,56,23.15,13,1246,1697,1867,85,85,24,28.2,"Low"
"5960",98.4,2136,2120,77,48,15.8,9,853,1025,1202,85,85,24,28.2,"Low"
"5961",81.2,1715.5,2013.5,132.5,100,28.4,6,600,458,644,86,86,26,28.2,"Low"
